outcome,progress_bin,progress_fraction,trajectory_count,student_entropy_topk_mean,teacher_entropy_topk_mean,entropy_teacher_minus_student
failure,0,0.0,7087,0.2178355668209511,0.15730221278753523,-0.060533354033415865
failure,1,0.1111111111111111,7087,0.20051491948663036,0.22478619313601095,0.024271273649380587
failure,2,0.2222222222222222,7087,0.21502555094155998,0.25143388652005305,0.03640833557849307
failure,3,0.3333333333333333,7087,0.2196452082205242,0.272808090756779,0.053162882536254785
failure,4,0.4444444444444444,7087,0.21942657599972165,0.3031049380676446,0.08367836206792295
failure,5,0.5555555555555556,7087,0.22209903217679852,0.31544819497508086,0.09334916279828234
failure,6,0.6666666666666666,7087,0.222553661435387,0.3382118589736383,0.11565819753825132
failure,7,0.7777777777777777,7087,0.22338960241835806,0.36699764158770704,0.14360803916934897
failure,8,0.8888888888888888,7087,0.22502732993452157,0.37373805047791336,0.1487107205433918
failure,9,1.0,7087,0.22277966360901635,0.3877093086666713,0.16492964505765495
success,0,0.0,913,0.20270291068471497,0.13928483219152119,-0.06341807849319378
success,1,0.1111111111111111,913,0.2125898786119981,0.18712022847780435,-0.02546965013419375
success,2,0.2222222222222222,913,0.20615681682808573,0.19361455772411032,-0.012542259103975412
success,3,0.3333333333333333,913,0.20157198917532052,0.19749986227225375,-0.0040721269030667695
success,4,0.4444444444444444,913,0.1985780568488993,0.19730900258724537,-0.0012690542616539124
success,5,0.5555555555555556,913,0.191847478442865,0.19663233962601506,0.004784861183150052
success,6,0.6666666666666666,913,0.18563508081938757,0.19533345494182092,0.00969837412243335
success,7,0.7777777777777777,913,0.18165032067873496,0.19172540504135555,0.010075084362620584
success,8,0.8888888888888888,913,0.1671452223154724,0.16602818329736355,-0.0011170390181088619
success,9,1.0,913,0.16166547356614025,0.13148471598913977,-0.030180757577000478
