diagnostics_step,diagnostics_source,task_id,game_id,task_type,student_model_version,run_id,task_success,turn_count,first_turn,last_turn,student_entropy_mean,teacher_entropy_mean,student_entropy_slope_per_turn,teacher_entropy_slope_per_turn,teacher_entropy_initial,teacher_entropy_final,teacher_entropy_min,teacher_entropy_max,teacher_entropy_peak_turn,teacher_entropy_last5_minus_first5,teacher_entropy_turns5to9_minus_turns0to4,teacher_entropy_max_positive_jump,teacher_entropy_cumulative
1,train,train/look_at_obj_in_light-AlarmClock-None-DeskLamp-317/trial_T20190909_070740_947572/game.tw-pddl,train/look_at_obj_in_light-AlarmClock-None-DeskLamp-317/trial_T20190909_070740_947572/game.tw-pddl,look_at_obj_in_light,1,de530d04944049c8a965bd723733fd52,False,30,0,29,0.20220801862244864,0.323940578256424,0.00014767415659977144,0.005176201389911422,0.08718031075895563,0.2666283596878396,0.08718031075895563,0.5357341802453588,25,0.16042317226573108,0.12151172157292398,0.30276458634400333,9.71821734769272
1,train,train/look_at_obj_in_light-Pencil-None-DeskLamp-307/trial_T20190909_014346_726857/game.tw-pddl,train/look_at_obj_in_light-Pencil-None-DeskLamp-307/trial_T20190909_014346_726857/game.tw-pddl,look_at_obj_in_light,1,993b0ef480134c7f89bf0dcebaf9ca2d,False,30,0,29,0.2173653519256277,0.32730234719015966,0.0007687051534110874,0.004948085235435427,0.11157924236389515,0.24791713953611796,0.11157924236389515,0.5937994012072876,23,0.1273950954908581,0.13742530672092418,0.31384209652290745,9.81907041570479
1,train,train/pick_and_place_simple-Cloth-None-Toilet-417/trial_T20190908_163225_559074/game.tw-pddl,train/pick_and_place_simple-Cloth-None-Toilet-417/trial_T20190908_163225_559074/game.tw-pddl,pick_and_place_simple,1,9be4eec79f9b4700a82ff172eb92751f,True,18,0,17,0.16511760250324758,0.18228285914840084,-0.0010334937755883064,0.005094136929667067,0.12775224725499823,0.1837978749873389,0.0763256374760363,0.3408905948070328,12,0.07608837801759738,0.1494675937403647,0.1740870324116206,3.2810914646712153
1,train,train/pick_and_place_simple-KeyChain-None-Safe-323/trial_T20190908_115121_030635/game.tw-pddl,train/pick_and_place_simple-KeyChain-None-Safe-323/trial_T20190908_115121_030635/game.tw-pddl,pick_and_place_simple,1,2a3896420afa47b9bcc3700d95700e95,False,30,0,29,0.15464709366967647,0.2963669824197401,-0.0006999804645691735,0.006493471800398686,0.13380141588216843,0.3518888218751476,0.13380141588216843,0.48598458276336853,28,0.148864723401027,0.004529686041634812,0.221931138959377,8.891009472592202
1,train,train/pick_and_place_simple-KeyChain-None-Sofa-217/trial_T20190908_065504_716374/game.tw-pddl,train/pick_and_place_simple-KeyChain-None-Sofa-217/trial_T20190908_065504_716374/game.tw-pddl,pick_and_place_simple,1,bfffc812afda4305852ccafb90c5a388,False,30,0,29,0.19489915488283752,0.3127222073063734,0.0005243778618960332,0.004963303261929118,0.15847752485093614,0.33095875497602206,0.09127830577760321,0.4726143482868594,18,0.09846026001072372,0.030601679395668158,0.2178839173673121,9.381666219191201
1,train,train/pick_clean_then_place_in_recep-Cloth-None-CounterTop-408/trial_T20190908_103230_310212/game.tw-pddl,train/pick_clean_then_place_in_recep-Cloth-None-CounterTop-408/trial_T20190908_103230_310212/game.tw-pddl,pick_clean_then_place_in_recep,1,913959a32d7e42a2bb3ef0c013c158f8,False,30,0,29,0.1665780703311595,0.24541390020881154,0.0007790993321435272,0.007573203087833053,0.11106420497727813,0.4033430827050784,0.06206210330850842,0.4033430827050784,29,0.21952355198828225,0.07792627249736828,0.1316508824751325,7.362417006264346
1,train,train/pick_clean_then_place_in_recep-Knife-None-DiningTable-15/trial_T20190908_162445_886312/game.tw-pddl,train/pick_clean_then_place_in_recep-Knife-None-DiningTable-15/trial_T20190908_162445_886312/game.tw-pddl,pick_clean_then_place_in_recep,1,0258cebdb4d646529358893df5d54b51,False,30,0,29,0.19899797695737237,0.3428127036992579,0.0004011792785691274,0.008097818079322973,0.17643793033706584,0.4714862990338128,0.17135415768882803,0.5370931973296058,25,0.230361383763709,0.06250490876234086,0.23109888344631976,10.284381110977737
1,train,train/pick_clean_then_place_in_recep-Knife-None-Drawer-8/trial_T20190907_044612_684811/game.tw-pddl,train/pick_clean_then_place_in_recep-Knife-None-Drawer-8/trial_T20190907_044612_684811/game.tw-pddl,pick_clean_then_place_in_recep,1,7c0f9ec837b749f5a984c8c10beec7ce,False,30,0,29,0.21408566444419147,0.3774814784381511,0.0015499497877436634,0.008161771572532235,0.09610265909101696,0.4227503105032141,0.09610265909101696,0.5223615525618287,24,0.2013126267209308,0.09280396321545187,0.16686726237853233,11.324444353144534
1,train,train/pick_cool_then_place_in_recep-Potato-None-GarbageCan-2/trial_T20190908_101621_422961/game.tw-pddl,train/pick_cool_then_place_in_recep-Potato-None-GarbageCan-2/trial_T20190908_101621_422961/game.tw-pddl,pick_cool_then_place_in_recep,1,f3ad2b9f3bfb4c3f8d0655b609ef42ab,False,30,0,29,0.19795995959322624,0.30546833467553713,0.0012522485090210689,0.007474394594062197,0.18825073635104062,0.3763682183313404,0.1223284347014514,0.5245016004338022,27,0.22260754153437973,0.03993347764721522,0.1620643320494681,9.164050040266114
1,train,train/pick_heat_then_place_in_recep-Apple-None-Fridge-12/trial_T20190909_151749_236238/game.tw-pddl,train/pick_heat_then_place_in_recep-Apple-None-Fridge-12/trial_T20190909_151749_236238/game.tw-pddl,pick_heat_then_place_in_recep,1,5ed6220d793348ce9cd8a1d4f9b9e2be,False,30,0,29,0.194215703339153,0.27124415722120726,9.250985028048178e-05,0.005643217958799829,0.16509823706529778,0.36580716164728,0.11356534389818938,0.42750678403243875,19,0.06673647600506583,-0.026045810197126068,0.21967083465120074,8.137324716636218
1,train,train/pick_heat_then_place_in_recep-Cup-None-Cabinet-6/trial_T20190908_165422_447082/game.tw-pddl,train/pick_heat_then_place_in_recep-Cup-None-Cabinet-6/trial_T20190908_165422_447082/game.tw-pddl,pick_heat_then_place_in_recep,1,ff0728eb4d694504b52e0a1bddcfc14f,False,30,0,29,0.2072815160091772,0.32912377691312705,0.0006033917018065925,0.00908319722095752,0.14395566776193008,0.5148533084719422,0.09108232382444584,0.5562775823214468,27,0.2406876802795349,0.04754809850517672,0.2677408974206117,9.873713307393812
1,train,train/pick_heat_then_place_in_recep-Tomato-None-GarbageCan-16/trial_T20190906_171701_034036/game.tw-pddl,train/pick_heat_then_place_in_recep-Tomato-None-GarbageCan-16/trial_T20190906_171701_034036/game.tw-pddl,pick_heat_then_place_in_recep,1,6637e9924820455d858ea320a0659b7c,False,30,0,29,0.20622437604095753,0.28864073804172624,0.001313671740222597,0.0030084797314480064,0.17276757626782305,0.5829144127012381,0.10862310233281787,0.5829144127012381,29,0.14273821132199987,0.04636767039467432,0.19622118629400387,8.659222141251787
1,train,train/pick_two_obj_and_place-AlarmClock-None-SideTable-312/trial_T20190908_024638_080857/game.tw-pddl,train/pick_two_obj_and_place-AlarmClock-None-SideTable-312/trial_T20190908_024638_080857/game.tw-pddl,pick_two_obj_and_place,1,dbe4430ecf594823b8710a397de25c02,False,30,0,29,0.1640349986682416,0.2520662577813302,-0.0017839249250172064,0.00520371162560116,0.16851528372262575,0.34822046617609037,0.09379037362801916,0.37997164450287746,27,0.1617847474286336,0.07109383555516752,0.15344425811457288,7.5619877334399055
